,Comparison,Metric,Segment,value
436,GTvsATLAS,MSD,pcm_up_1,1.3561223291964795
437,GTvsATLAS,VolumeRatio,pcm_up_1,0.1906295988554486
438,GTvsDL,DICE,pcm_up_1,0.5516219688272563
439,GTvsDL,EPL,pcm_up_1,1293.097537878788
440,GTvsDL,Hausdorff,pcm_up_1,23.828800055237103
441,GTvsDL,LineRatio,pcm_up_1,0.5479985998751414
442,GTvsDL,MSD,pcm_up_1,2.2692362785002613
443,GTvsDL,VolumeRatio,pcm_up_1,0.3201239967917691
444,GTvsDLB,DICE,pcm_up_1,0.7808197838453234
445,GTvsDLB,EPL,pcm_up_1,705.6154399671053
446,GTvsDLB,Hausdorff,pcm_up_1,14.139416515088586
447,GTvsDLB,LineRatio,pcm_up_1,0.2882430822142651
448,GTvsDLB,MSD,pcm_up_1,0.4732997804293132
449,GTvsDLB,VolumeRatio,pcm_up_1,0.07983779168270237
450,GTvsATLAS,DICE,spinalcord_1,0.7696490832371432
451,GTvsATLAS,EPL,spinalcord_1,1079.131953125
452,GTvsATLAS,Hausdorff,spinalcord_1,14.465941542276054
453,GTvsATLAS,LineRatio,spinalcord_1,0.31318117813134977
454,GTvsATLAS,MSD,spinalcord_1,0.6613410144563098
455,GTvsATLAS,VolumeRatio,spinalcord_1,0.06948482946172768
456,GTvsDL,DICE,spinalcord_1,0.8139816703723822
457,GTvsDL,EPL,spinalcord_1,737.0404270119863
458,GTvsDL,Hausdorff,spinalcord_1,14.657354446382753
459,GTvsDL,LineRatio,spinalcord_1,0.2076591529612437
460,GTvsDL,MSD,spinalcord_1,0.7750026391579837
461,GTvsDL,VolumeRatio,spinalcord_1,0.04251527713951101
462,GTvsDLB,DICE,spinalcord_1,0.8222009867603954
